year,quarter,TotalkWh,TotalAccounts,temperature_2m_max,temperature_2m_min,cumulative_solar,BEV,PHEV,load_per_account,delta_totalkwh,delta_totalaccounts,delta_load_per_account,Income_Median,Pct_Multifamily,Locale,Pct_Rentalunits,Educ_Attainment_L5,Pct no vehicles,CommuteGr45min,Commute15min,Commute30min,Total_Pop,Total_Pop_Median_age,GRAPI_<30%,GRAPI_>30%,zip_code
2016,3,3416429.333333333,8179.0,29.916218,17.91948,141.0,35.0,38.0,417.7074621999429,532716.0,4.33333333333303,64.94527006162946,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2016,4,3259550.0,8199.666666666666,23.26676,12.094479,141.0,35.0,38.0,397.5222570023172,-156879.33333333302,20.66666666666606,-20.18520519762569,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2017,1,3479013.6666666665,8189.333333333333,18.13889,10.017777,187.0,45.0,62.0,424.8225740801042,219463.6666666665,-10.33333333333303,27.300317077786985,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2017,2,2839990.333333333,8217.666666666666,23.944012,14.01489,187.0,45.0,62.0,345.59570843305073,-639023.3333333335,28.33333333333303,-79.22686564705344,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2017,3,3524952.333333333,8219.666666666666,27.37348,18.43489,187.0,45.0,62.0,428.8437081795693,684962.0,2.0,83.24799974651859,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2017,4,3093261.333333333,8221.0,23.822935,14.361522,187.0,45.0,62.0,376.2633905039938,-431691.0,1.3333333333339397,-52.58031767557554,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2018,1,3326272.333333333,8222.333333333334,19.456112,10.4794445,216.0,57.0,70.0,404.54116836258964,233011.0,1.3333333333339397,28.27777785859587,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2018,2,2816865.333333333,8222.0,22.132473,13.06379,216.0,57.0,70.0,342.6009892159247,-509407.0,-0.33333333333393966,-61.940179146664946,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2018,3,3778538.3333333335,8277.333333333334,27.971848,18.609346,216.0,57.0,70.0,456.49222777061857,961673.0000000005,55.33333333333394,113.89123855469387,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2018,4,3042829.0,8243.333333333334,21.578913,12.728912,216.0,57.0,70.0,369.12604124545084,-735709.3333333335,-34.0,-87.36618652516773,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
